System information:
Version                                  | VisiWin7 7.2
Framework                                | DotNet
Project                                  | Single
VisiWin.S7_TIA.Brw.dll           | 3.0.1.50(Debug=False)
VisiWin.Browser.Components.Shared.dll | 7.0.0.37(Debug=False)

Messages
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Pointer" of item "RFC_IDB HMI Allgemein.Status Platz"PD AP ALO 1"" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Pointer" of item "RFC_IDB HMI Allgemein.Status Platz"PD AP ALO 2"" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Pointer" of item "RFC_IDB HMI Allgemein.Status Platz"PD AP LGO 2"" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Pointer" of item "RFC_IDB HMI Allgemein.Status Platz"PD AP ALO 3"" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Pointer" of item "RFC_IDB HMI Allgemein.Status Platz"PD AP ALO 4"" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Pointer" of item "RFC_IDB HMI Allgemein.Status Platz"PD AP LGO 3"" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Pointer" of item "RFC_IDB HMI Allgemein.Status Platz"PD AP ALO 5"" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Pointer" of item "RFC_IDB HMI Allgemein.Status Platz"PD AP ALO 6"" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Pointer" of item "RFC_IDB HMI Allgemein.Status Platz"PD Out"" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Pointer" of item "RFC_IDB HMI Allgemein.Status Platz"PD Transporter HT"" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Pointer" of item "RFC_IDB HMI Allgemein.Status Platz"PD Transporter HT LA"" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Pointer" of item "RFC_IDB HMI Allgemein.Zeitschaltuhr HMI"HMI TS"" is not supported! | TIAParser.CreateMemberInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Pointer" of item "RFC_IDB HMI Allgemein.Zeitschaltuhr HMI"LGO 1 TS"" is not supported! | TIAParser.CreateMemberInfo() | 
